"icao_airline","tail_number","event_date","Total_impression_cnt","non_video_impression_cnt","clickable_impression_cnt","total_click_cnt","video_impression_cnt","total_skip_cnt","total_complete_cnt"
"P4N","P17413","2026-01-09","21197","19429","6004","46","1768","48","1728"
"P4N","P73251","2026-01-08","13150","12431","3539","19","719","20","708"
"P4N","P76517","2026-01-09","12019","11294","2403","13","725","33","694"
"P4N","P37278","2026-01-08","14933","13912","2717","21","1021","33","989"
"P4N","P7994N","2026-01-08","30918","27831","10198","95","3087","74","3050"
"P4N","P24973","2026-01-08","13193","12764","2382","16","429","8","426"
"P4N","P76504","2026-02-03","5511","5112","1379","18","399","19","380"
"P4N","P2044N","2026-02-01","19673","17725","6788","72","1948","56","1905"
"P4N","P17331","2026-01-19","16177","15094","4129","21","1083","27","1060"
"P4N","P17363","2026-01-12","15521","14705","3363","21","816","32","788"
"P4N","P4974N","2026-01-12","11541","10843","2080","17","698","15","683"
"P4N","P37353","2026-01-12","15550","14605","3168","13","945","25","922"
"P4N","P76504","2026-01-02","6138","5506","2440","20","632","24","618"
"P4N","P17244","2026-01-02","14223","12740","5444","50","1483","64","1445"
"P4N","P37368","2026-01-02","12368","11176","4673","84","1192","71","1184"
"P4N","P38950","2026-01-01","10038","7435","4976","55","2603","59","2566"
"P4N","P38268","2026-01-30","19109","17502","4725","51","1607","52","1560"
"P4N","P47569","2026-01-29","22421","20221","6302","58","2200","49","2156"
"P4N","P37547","2026-01-30","16332","14896","4032","28","1436","35","1407"
"P4N","P14503","2026-01-30","19205","17905","4299","43","1300","44","1258"
"P4N","P8364N","2026-01-23","1719","1706","49","0","13","2","11"
"P4N","P14102","2026-01-30","10979","10111","4497","16","868","12","857"
"P4N","P14107","2026-01-30","21353","20118","7156","50","1235","24","1217"
"P4N","P77012","2026-01-30","10864","10514","1869","6","350","9","345"
"P4N","P12114","2026-01-30","9251","8726","2088","7","525","10","515"
"P4N","P27266","2026-01-30","14338","12972","4303","25","1366","33","1337"
"P4N","P47345","2026-01-16","13957","12749","3552","37","1208","45","1167"
"P4N","P14545","2026-01-18","17615","16097","5845","50","1518","29","1495"
"P4N","P37554","2026-01-18","15247","13923","3863","23","1324","32","1294"
"P4N","P77006","2026-01-18","15515","14074","5016","36","1441","37","1412"
"P4N","P27270","2026-01-18","12350","11175","3577","17","1175","29","1148"
"P4N","P17133","2026-01-18","1974","1844","549","5","130","6","124"
"P4N","P4814N","2026-02-05","11973","11350","3042","18","623","19","605"
"P4N","P37298","2026-02-05","17631","16797","3979","26","834","26","809"
"P4N","P76523","2026-02-05","16268","15317","3874","31","951","17","934"
"P4N","P37365","2026-02-05","12753","12053","3486","30","700","14","686"
"P4N","P17595","2026-02-05","16806","15851","4569","36","955","20","935"
"P4N","P78501","2026-02-05","13935","13286","3036","27","649","15","634"
"P4N","P17306","2026-02-05","12149","11415","2775","30","734","21","713"
"P4N","P24988","2026-02-02","1591","1589","2","0","2","0","2"
"P4N","P37507","2026-01-26","21214","19910","4537","35","1304","51","1257"
"P4N","P17328","2026-01-26","12455","11621","2448","20","834","23","813"
"P4N","P77537","2026-01-26","17564","16339","3718","35","1225","35","1196"
"P4N","P57299","2026-01-22","2933","2932","4","0","1","0","1"
"P4N","P26902","2026-01-26","8802","8065","3124","37","737","22","719"
"P4N","P8194N","2026-01-25","11044","10295","1954","31","749","24","729"
"P4N","P17229","2026-01-03","10834","10236","3347","14","598","22","579"
"P4N","P77558","2026-01-03","6638","5665","2424","18","973","23","953"
"P4N","P14524","2026-01-03","12517","11020","5042","36","1497","39","1460"
"P4N","P36472","2026-01-03","5067","4656","1509","11","411","16","401"
"P4N","P29991","2026-01-03","22943","20991","18330","29","1952","49","1916"
"P4N","P47340","2026-01-21","12974","12236","2710","25","738","20","722"
"P4N","P7944N","2026-01-23","30460","27341","9824","46","3119","65","3057"
"P4N","P58101","2026-02-09","6550","6264","2262","12","286","10","276"
"P4N","P17262","2026-02-09","5639","5209","1874","20","430","13","417"
"P4N","P17403","2026-02-09","11796","10698","3184","27","1098","528","571"
"P4N","P12020","2026-02-08","2069","2069","0","0","0","0","0"
"P4N","P4984N","2026-02-09","7305","6909","1678","10","396","12","384"
"P4N","P4964N","2026-02-08","3678","3486","873","7","192","4","188"
"P4N","P77537","2026-02-08","8062","7696","1618","13","366","7","359"
"P4N","P37561","2026-02-08","16421","15150","4898","49","1271","23","1253"
"P4N","P37305","2026-02-08","10599","10001","2547","11","598","24","574"
"P4N","P37553","2026-02-08","5874","5517","1661","7","357","8","349"
"P4N","P67350","2026-01-05","6270","5573","2407","24","697","24","674"
"P4N","P27260","2026-01-04","11567","10337","4437","26","1230","40","1193"
"P4N","P77578","2026-01-05","11307","10111","4346","28","1196","23","1180"
"P4N","P36469","2026-01-04","13613","12371","5110","68","1242","52","1245"
"P4N","P94556","2026-01-05","9066","8234","3189","29","832","23","809"
"P4N","P14549","2026-01-04","7636","6523","3277","20","1113","46","1070"
"P4N","P2164N","2026-01-05","12680","10502","5951","53","2178","61","2135"
"P4N","P29907","2026-01-04","29947","27739","11694","74","2208","54","2167"
"P4N","P8844N","2026-01-04","8031","7521","2748","22","510","14","504"
"P4N","P1902U","2026-01-04","8790","8321","2951","19","469","25","455"
"P4N","P6424N","2026-01-05","10297","10297","3911","14","0","3","1"
"P4N","P26208","2026-01-19","15612","14427","3515","30","1185","25","1164"
"P4N","P17565","2026-01-11","17187","15777","4880","41","1410","44","1368"
"P4N","P36469","2026-01-11","17409","16136","2936","32","1273","29","1250"
"P4N","P76503","2026-01-11","10554","10050","2106","13","504","10","497"
"P4N","P7924N","2026-01-12","32664","29968","16466","73","2696","74","2645"
"P4N","P37535","2026-01-11","16368","15263","4619","32","1105","23","1087"
"P4N","P2639U","2026-01-10","12380","11338","4198","32","1042","23","1023"
"P4N","P68843","2026-01-11","2348","2164","434","7","184","8","179"
"P4N","P75433","2026-01-06","8962","8132","2303","21","830","26","808"
"P4N","P27958","2026-01-06","14189","11724","6790","67","2465","75","2417"
"P4N","P37567","2026-01-06","11750","10218","3544","29","1532","49","1491"
"P4N","P47370","2026-01-06","7302","6409","2464","47","893","31","871"
"P4N","P14523","2026-02-07","14052","13054","3505","23","998","24","974"
"P4N","P91007","2026-02-07","48629","45914","29803","123","2715","44","2678"
"P4N","P38467","2026-01-31","19979","18597","5204","58","1382","44","1342"
"P4N","P17320","2026-01-31","10930","10064","2554","21","866","26","846"
"P4N","P17002","2026-01-30","12788","11747","7022","29","1041","35","1009"
"P4N","P68453","2026-01-31","16987","15692","3712","40","1295","38","1264"
"P4N","P15969","2026-01-31","11468","10680","2934","25","788","14","776"
"P4N","P27908","2026-01-07","12053","11804","1093","5","249","8","243"
"P4N","P78524","2026-01-07","9336","8269","2916","34","1067","47","1029"
"P4N","P37318","2026-01-07","7070","6261","2175","23","809","35","783"
"P4N","P7984N","2026-01-07","21454","18037","9849","67","3417","97","3339"
"P4N","P4864N","2026-01-07","5603","5105","1188","14","498","9","489"
"P4N","P17597","2026-01-07","4912","4322","1523","11","590","24","571"
"P4N","P37549","2026-01-07","10142","8854","3200","29","1288","44","1256"
"P4N","P17364","2026-02-06","17827","16619","5337","63","1208","32","1182"
"P4N","P8934N","2026-02-06","9169","8820","1660","32","349","11","338"
"P4N","P17589","2026-02-06","16599","15571","4344","53","1028","32","997"
"P4N","P34460","2026-02-06","16589","15456","4392","32","1133","47","1086"
"P4N","P26210","2026-02-06","13222","12325","3592","36","897","18","880"
"P4N","P74007","2026-02-05","21115","20222","8760","23","893","23","873"
