zone_name,lag_1d,lag_7d,rolling_mean_7d,rolling_mean_30d,rolling_std_7d,active_campaigns_in_zone,days_since_last,total_planned_daily_demand,paid_ratio,day_of_week,is_weekend,month,cat_fb,cat_home,cat_movies,cat_music,cat_other,cat_tv,cat_welcome,predicted_imp_per_flight,daily_capacity
Veeps > Stand-up,0.004149377593360996,0.016260162601626018,0.009818025567925878,0.009807964863071774,0.006187799334715983,3,9,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
W,4.0,1.0,1.7142857142857142,5.163413393427808,1.1126972805283735,2,-197,0.0,0.0,2,0,5,0,0,0,0,1,0,0,3.7265093,2711.8342
Wellness,0.006600660066006601,0.015280135823429542,0.013094181524766199,0.019367778539149037,0.015053701048635338,4,234,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.0,0.0
X,0.010680907877169559,0.0997229916897507,0.020650724613405374,0.27363492239546766,0.03494812473873299,6,20,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
Y,2.0,1.7079889807162534,0.9762874356098485,0.8696122797034669,0.78472377948196,2,-198,0.0,0.0,2,0,5,0,0,0,0,1,0,0,2.2325656,1624.6699
Z,2.0,0.2975206611570248,1.350344628271141,2.023039747541026,1.3813009767547797,2,-197,0.0,0.0,2,0,5,0,0,0,0,1,0,0,2.2873175,1664.5137
b_audio_audio_mixes1,0.0016129032258064516,0.07272727272727272,0.016963454389019923,0.03324857287212355,0.026318657224667395,1,225,0.0,0.0,2,0,5,0,0,0,0,1,0,0,11.8011465,8587.863
b_audio_audio_mixes2,0.0016051364365971107,0.006644518272425249,0.010845394184934059,0.022311893948296687,0.012480633937769494,1,223,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.0,0.0
b_audio_audiobooks1,2.0,3.129161118508655,2.9240248710324797,3.0920192142764718,0.7903658060945926,19,-196,328275.7483288616,0.8421052631578947,2,0,5,0,0,0,0,1,0,0,2.5811272,1878.3231
b_audio_audiobooks2,1.0,1.8521970705725699,1.735797992161124,1.8459363241471538,0.571539282596608,18,-11,572520.7179949913,0.8333333333333334,2,0,5,0,0,0,0,1,0,0,1.3666214,994.5099
b_audio_playlists1,8.0,16.101769911504423,6.7288242730720595,23.243454285500167,5.5276194634737505,19,-198,328275.7483288616,0.8421052631578947,2,0,5,0,0,0,0,1,0,0,7.7586765,5646.0996
b_audio_playlists2,6.0,18.756324900133155,15.945518565390405,17.62976124779378,5.689466301172875,18,-11,572520.7179949913,0.8333333333333334,2,0,5,0,0,0,0,1,0,0,7.562404,5503.2695
b_audio_podcasts1,3.0,10.40218878248974,7.52560320416836,8.913557332006407,4.5894346163745885,19,-198,328275.7483288616,0.8421052631578947,2,0,5,0,0,0,0,1,0,0,4.7424493,3451.1482
b_audio_podcasts2,3.1828908554572273,5.315363881401617,5.566073777461544,5.77069146907894,1.1282926207033646,18,8,572520.7179949913,0.8333333333333334,2,0,5,0,0,0,0,1,0,0,7.9863687,5811.7944
b_fb_alcoholic1,0.00424929178470255,0.001564945226917058,0.16439143940352646,0.04819996029898656,0.19257185953673858,1,77,0.0,0.0,2,0,5,1,0,0,0,0,0,0,0.46561825,338.83707
b_fb_alcoholic2,0.0029498525073746312,0.005390835579514825,0.008726648619507364,0.011303819892708145,0.00600053860025662,1,8,0.0,0.0,2,0,5,1,0,0,0,0,0,0,0.46561825,338.83707
