campaign_id,campaign_name,revenue_type,goal_type,planned_daily_impressions,pacing_gap,time_urgency,zone_fit,contract_weight,goal_modifier,priority_score,queue_position
8097,April 2026 Interactive Update Banner Campaign Atresplayer,house,awareness,0.0,0.0,7.68,20.0,6.67,16.67,51.02,154
6535,1780835_UA_ALWAYS ON HOUSE CAMPAIGN 2025 (IFE)_Display,house,consideration,0.0,0.0,4.23,20.0,6.67,20.0,50.89,155
6254,MP Map FOP Evergreen,house,consideration,0.0,0.0,4.11,20.0,6.67,20.0,50.78,156
6224,Digital_Hemi_OGG,house,consideration,0.0,0.0,4.06,20.0,6.67,20.0,50.73,157
6220,Digital_Hemi_IAD,house,consideration,0.0,0.0,4.06,20.0,6.67,20.0,50.73,158
6221,Digital_Hemi_LAS,house,consideration,0.0,0.0,4.06,20.0,6.67,20.0,50.73,159
6225,Digital_Hemi_PHX,house,consideration,0.0,0.0,4.06,20.0,6.67,20.0,50.73,160
6223,Digital_Hemi_NAS,house,consideration,0.0,0.0,4.06,20.0,6.67,20.0,50.73,161
6222,Digital_Hemi_MSY,house,consideration,0.0,0.0,4.06,20.0,6.67,20.0,50.73,162
6217,Digital_Hemi_EWR,house,consideration,0.0,0.0,4.06,20.0,6.67,20.0,50.73,163
6218,Digital_Hemi_BNA,house,consideration,0.0,0.0,4.06,20.0,6.67,20.0,50.73,164
6219,Digital_Hemi_DCA,house,consideration,0.0,0.0,4.06,20.0,6.67,20.0,50.73,165
6226,Digital_Hemi_TPA,house,consideration,0.0,0.0,4.06,20.0,6.67,20.0,50.73,166
5831,1780835_UA_ALWAYS_A321Neo Wireless Charging_Display_Ongoing,house,consideration,0.0,0.0,3.82,20.0,6.67,20.0,50.48,167
5456,Digital_Hemi_DEN,house,consideration,0.0,0.0,3.63,20.0,6.67,20.0,50.29,168
5457,Digital_Hemi_SJO,house,consideration,0.0,0.0,3.63,20.0,6.67,20.0,50.29,169
5458,Digital_Hemi_ORD,house,consideration,0.0,0.0,3.63,20.0,6.67,20.0,50.29,170
5459,Digital_Hemi_ANC,house,consideration,0.0,0.0,3.63,20.0,6.67,20.0,50.29,171
5287,787 Leihoku Suite Tutorial,house,consideration,0.0,0.0,3.63,20.0,6.67,20.0,50.29,172
5450,Digital_Hemi_SJU,house,consideration,0.0,0.0,3.63,20.0,6.67,20.0,50.29,173
5451,Digital_Hemi_PDX,house,consideration,0.0,0.0,3.63,20.0,6.67,20.0,50.29,174
5452,Digital_Hemi_HNL,house,consideration,0.0,0.0,3.63,20.0,6.67,20.0,50.29,175
5460,Digital_Hemi_Generic,house,consideration,0.0,0.0,3.63,20.0,6.67,20.0,50.29,176
5455,Digital_Hemi_DUB,house,consideration,0.0,0.0,3.63,20.0,6.67,20.0,50.29,177
5453,Digital_Hemi_NYC,house,consideration,0.0,0.0,3.63,20.0,6.67,20.0,50.29,178
5454,Digital_Hemi_MIA,house,consideration,0.0,0.0,3.63,20.0,6.67,20.0,50.29,179
7221,Kapadokya - Nevşehir - I - Screensaver - October 2025,house,awareness,0.0,0.0,6.68,20.0,6.67,16.67,50.01,180
7220,Göbeklitepe - Şanlıurfa - I - Screensaver - October 2025,house,awareness,0.0,0.0,6.68,20.0,6.67,16.67,50.01,181
7219,Efes - İzmir - I - Screensaver - October 2025,house,awareness,0.0,0.0,6.68,20.0,6.67,16.67,50.01,182
7218,Ayasofya - İstanbul - I - Screensaver - October 2025,house,awareness,0.0,0.0,6.68,20.0,6.67,16.67,50.01,183
7217,Ani - Kars - I - Screensaver - October 2025,house,awareness,0.0,0.0,6.68,20.0,6.67,16.67,50.01,184
7342,Apex Best IFEC Awards - I - Screensaver - October 2025 - Tur & Eng,house,awareness,0.0,0.0,6.68,20.0,6.67,16.67,50.01,185
7309,Skytrax Voting - I - Screensaver - October 2025 - Tur & Eng,house,awareness,0.0,0.0,6.68,20.0,6.67,16.67,50.01,186
7227,Pamukkale - Denizli - I - Screensaver - October 2025,house,awareness,0.0,0.0,6.68,20.0,6.67,16.67,50.01,187
7226,Nemrut - Adıyaman - I - Screensaver - October 2025,house,awareness,0.0,0.0,6.68,20.0,6.67,16.67,50.01,188
